Big Apple Bull Terrier Rescue,http://www.petfinder.com/shelters/NY813.html,http://www.facebook.com/pages/Big-Apple-Bull-Terrier-Rescue/236546927178,,,,,
Bobbi and the Strays,http://www.petfinder.com/shelters/NY27.html,https://www.facebook.com/BobbiandtheStrays,https://twitter.com/bobbiandstrays,http://www.youtube.com/bobbiandthestrays,http://instagram.com/bobbiandthestrays,,
Boxer Angels Rescue,http://www.petfinder.com/shelters/NY350.html,http://www.facebook.com/boxerangelsrescue,,,,,
Bronx Tails Cat Rescue,http://www.petfinder.com/shelters/NY1115.html,https://www.facebook.com/pages/Bronx-Tails-Cat-Rescue/394454533965613,,,,,
Brooklyn Animal Action,http://www.petfinder.com/shelters/NY947.html,http://www.facebook.com/pages/Brooklyn-Animal-Action/129130043783733,https://twitter.com/BrooklynCats,http://www.youtube.com/BrooklynAnimalAction,http://instagram.com/brooklyn_animal_action,,
Brooklyn Animal Resource Coalition (BARC),http://www.petfinder.com/shelters/NY10.html,http://www.facebook.com/BarcShelter,https://twitter.com/BARCanimals,http://pinterest.com/bbanimals/,http://instagram.com/barcshelter,,
Brooklyn Bridge Animal Welfare Coalition,http://www.petfinder.com/shelters/NY765.html,https://www.facebook.com/pages/Brooklyn-Bridge-Animal-Welfare-Coalition/163926860354248,https://twitter.com/BBAWC,http://www.youtube.com/BBAnimals,http://instagram.com/brooklynbridgeanimals,,
"Bullmastiff Rescuers, Inc.",http://www.petfinder.com/shelters/IL691.html,https://www.facebook.com/pages/Bullmastiff-Rescuers-Inc/104115916365218,,,,,
Bully Project,http://www.petfinder.com/shelters/NY1122.html,http://www.facebook.com/BullyProject,https://twitter.com/BullyProjectNYC,http://www.youtube.com/thattouchofpit,http://instagram.com/bullyprojectnyc,,
"<p class=""apochartname"">Cascade Beagle Rescue, East</p>",http://www.petfinder.com/shelters/NJ433.html,,,,,,
Cat Assistance,http://www.petfinder.com/shelters/NY24.html,http://www.facebook.com/Catassistanceny,,,,,
Cats in the Cradle Rescue,http://www.petfinder.com/shelters/NY1081.html,http://www.facebook.com/catsnyc,,,,,
"City Critters, Inc.",http://www.petfinder.com/shelters/NY114.html,http://www.facebook.com/CityCritters,https://twitter.com/citycritters,,,,
"<p class=""apochartname"">Cocker Rescue of New Jersey</p>",http://www.petfinder.org/shelters/NJ73.html,,,,,,
CSM Stray Foundation (USA) Inc.,http://www.petfinder.com/shelters/NY455.html,,,,,,
Curly Tail Pug Rescue,http://www.petfinder.com/shelters/MA383.html,http://www.facebook.com/pages/Curly-Tail-Pug-Rescue/109643729086563,https://twitter.com/CurlyTailRescuehttp://pinterest.com/curlytailrescue/,http://instagram.com/curlytailpugrescue,,,
"<p class=""apochartname"">Dalmatian Adoption, Inc.</p>",http://www.petfinder.com/shelters/NY505.html,,,,,,
"<p class=""apochartname"">Derrek's Gleeful Rescue</p>",http://www.petfinder.com/shelters/NY697.html,,,,,,
"Doberman Pinscher Club of America Rescue Committee<p class=""apochartname"">Ê</p>Eastern German Shorthaired Pointer Club Rescue Program",http://www.petfinder.com/shelters/NJ361.html,,,,,,
English Bull Terrier Rescue of New York & New Jersey,http://www.petfinder.com/shelters/NJ496.html,,,,,,
Eve's Sanctuary,http://www.petfinder.com/shelters/NY679.html,http://www.facebook.com/evessanctuary,https://twitter.com/evessanctuary,,,,
Feathered Friends Parrot Adoption Services,http://www.petfinder.com/shelters/NY600.html,,,,,,
"<p class=""apochartname"">Feline Rescue Mission</p>",http://www.petfinder.com/shelters/NJ494.html,https://twitter.com/FRM27,,,,,
Feline Rescue of Staten Island,http://www.petfinder.com/shelters/NY227.html,https://www.facebook.com/felinerescuesi,,,,,
